               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.033944,            0.025067,            0.049441,             0.99073,             0.22836,             0.44055,             0.38285,            0.025363,            0.016763,            0.054576,            0.004126,            0.004126,            0.004126
                  91,            0.034417,            0.024807,            0.049683,             0.98554,             0.22799,             0.44901,             0.38212,            0.025161,            0.016293,            0.054382,             0.00406,             0.00406,             0.00406
                  92,            0.035107,            0.025969,            0.049299,              0.9859,             0.23072,             0.45227,             0.39087,            0.025241,            0.016643,             0.05426,            0.003994,            0.003994,            0.003994
                  93,              0.0335,            0.024115,            0.049467,             0.99446,             0.23301,             0.43412,             0.36631,            0.025475,            0.016463,             0.05397,            0.003928,            0.003928,            0.003928
                  94,            0.036087,            0.026266,            0.049051,             0.99104,             0.23333,             0.43636,             0.37319,            0.025707,            0.016219,            0.053751,            0.003862,            0.003862,            0.003862
                  95,            0.035024,            0.024672,            0.049076,              0.9928,             0.23333,             0.44042,             0.37177,             0.02565,            0.015868,            0.053637,            0.003796,            0.003796,            0.003796
                  96,            0.034527,             0.02498,            0.049326,             0.99144,             0.23146,             0.44908,             0.39687,            0.024763,             0.01618,            0.053704,             0.00373,             0.00373,             0.00373
                  97,            0.033697,            0.023655,            0.048659,             0.99139,             0.23023,             0.45303,             0.39135,            0.025889,            0.016269,             0.05346,            0.003664,            0.003664,            0.003664
                  98,            0.033097,            0.023911,            0.048507,             0.98129,             0.23333,             0.46004,             0.39882,            0.025679,             0.01602,            0.053358,            0.003598,            0.003598,            0.003598
                  99,            0.033108,            0.023451,            0.048491,             0.98925,             0.23264,             0.45497,             0.40027,            0.024834,            0.015951,             0.05299,            0.003532,            0.003532,            0.003532
                 100,            0.033309,             0.02347,            0.048206,              0.9897,             0.23333,              0.4635,              0.4119,            0.024076,            0.015136,            0.052852,            0.003466,            0.003466,            0.003466
                 101,            0.033024,            0.023238,            0.048189,             0.99383,             0.23115,             0.46213,             0.39842,            0.025518,            0.016136,            0.052829,              0.0034,              0.0034,              0.0034
                 102,            0.032808,             0.02327,            0.048197,             0.98911,             0.23092,             0.46456,             0.41458,            0.024271,            0.015968,            0.052888,            0.003334,            0.003334,            0.003334
                 103,            0.032702,            0.023031,            0.047715,             0.75917,             0.32892,             0.46501,             0.40026,               0.026,            0.016043,            0.052364,            0.003268,            0.003268,            0.003268
                 104,            0.033386,            0.022889,            0.047627,             0.74441,             0.34167,             0.46625,             0.40379,            0.025428,            0.016143,            0.052224,            0.003202,            0.003202,            0.003202
                 105,            0.032672,            0.023143,             0.04745,             0.60084,             0.50333,             0.47596,             0.42521,            0.024243,            0.015641,            0.052177,            0.003136,            0.003136,            0.003136
                 106,            0.033091,            0.023696,            0.047412,              0.5974,             0.49111,             0.46979,             0.40949,              0.0251,            0.015904,            0.052003,             0.00307,             0.00307,             0.00307
                 107,            0.034228,            0.023977,            0.047171,             0.69823,             0.42633,             0.47065,             0.42431,            0.023715,            0.015511,            0.051976,            0.003004,            0.003004,            0.003004
                 108,            0.033437,            0.023669,            0.047518,             0.65268,             0.43662,             0.48075,             0.42711,            0.025186,            0.015964,             0.05182,            0.002938,            0.002938,            0.002938
                 109,            0.031427,             0.02293,            0.046764,             0.69263,             0.42578,             0.47992,             0.43577,            0.024068,            0.015489,            0.051552,            0.002872,            0.002872,            0.002872
